qid,question_text
128,What did Goring believe the U-109 operator would gain with further support?
129,When does monsoon season end in the state William Hanna was born?
130,What act abolished slavery throughout the empire that distributed a new vocabulary during the Crimean War?
131,What is the passport issuing authority in the country Duhulu Malak is from?
132,The Shady Grove in the same state as Waukee High School is present in what county?
133,In which county of the state where the majority of sweet corn is grown is Shady Grove?
134,How did the Japanese win the country where Nan-ao is located?
135,"Who was the song ""Something For"", by the same artist as the song ""I Need You"", written for?"
136,Who was in charge of Remo Bertoni's birthplace?
137,What network first aired the show presenting Fabian Brandner?
138,Who owns Interstate 95 in the state where Awashonks lives?
139,Who is the mayor of Oklahoma's largest city?
140,What subject was studied in the city where Ammo Baba was born?
141,Where did Chopin live with his family in the city where Jan Romer died?
142,"Who did the actor who was Aslan's voice in Narnia, play in Star Wars?"
143,On what date did the battle named after the birthplace of Niall Inman end?
144,The lyricist of Pocahontas had who as a sibling?
145,"Where did Agnes, of the birthplace of Johann Nauwach, die?"
146,Who is the mother of the director of Faces?
147,What is the highest point of the country where Alebtong is located?
148,What is the population of Todd Sears' birthplace?
149,"Last season, who scored the first goal for the team which Dale Jasper had played for?"
150,In what month did the performer of I Forgive You win American Idol?
151,"Who played for all of liverpool, manchester, united, everton, and the team where Herbert Burgess starred?"
152,What is one annual sporting event hosted by the largest city in Oklahoma?
153,Who is the wife of the performer of the album Joe's Domage?
154,"What was the estimated population of the city that was the largest metro area in Oklahoma as of 2010, in 2014?"
155,What was the average family size in the city where WNJN-FM radio is located?
156,Who owns Interstate 95 in the state where John Wilkinson was born?
157,Who is the current opposition leader in the country where Ombaci is located?
158,"When did the 5th Dalai Lama gain political control over the traditional homeland of Monpa, Qiang, and Lhoba peoples?"
159,Who was the founder of the company that published Air Raiders?
160,When did the 50th state to join the U.S. become part of the country?
161,Whom is the country with the Vieux Fort River named after?
162,when did Shi Tiesheng's birthplace fall?
163,What mountain range in the state with the Pawnee National Grassland park does Garfield Park belong to?
164,What genre does the composer of New York Counterpoint work in?
165,What was the former name of Song dynasty's capital?
166,When did the torch visit the city the Parliament Museum is located in?
167,"What type of community is the municipality where Norbert Pfretzschner died, an instance of?"
168,"The Battle of Jackson, in the state where the Great River Road is found, is a part of what larger conflict?"
169,Who is the current food minister of the state where hampi tourist place is located?
170,In what time period did the Muslim conquest of the region the Moriscos went after they were forced out of Spain occur?
171,Where did the Dakota tribe live in the state where Lakeville High School is located?
172,In which county is the city to which WHGT licensed to broadcast?
173,What happened in the country where the Rumduol district is located during the cold war?
174,What is the main subject of biographies of the Bastien und Bastienne composer?
175,How many square miles is the state that was Elbridge Gerry's constituency?
176,Who founded one of the companies that handled the distribution of the NES?
177,What is the population of the city where the 16th Vietnam Film Festival was held?
178,Which mountain range separates kinnaur and spiti from the area where Marpa Lotsawa was born?
179,When is the monsoon season in Ankit Sharma's birth city?
180,Who discovered the country where Papa Elise is located?
181,What shares a border with Rivière-Verte in the province Les Hay Babies formed?
182,The conflict that involved the 55th Infantry Division of the Borough were Aughton is a village?
183,Where was the capital before the city containing Lycée Albert Sarraut?
184,When did Hurricane Maria hit the country where the groups not from the United States were from in The Sing-Off?
185,"Who was manager when the sports team who formerly employed Dale Japer, won Champion's League?"
186,When does it get cold in the state Reynolds is in?
187,"What city, known for a dam with same name, is located in the county that also contains the community of Durham?"
188,"What city contains the Consulate General of the United States, in the birthplace of John Slade?"
189,How high is the highest point in the city where esperanto was invented?
190,What region is the birthplace of Jan Mohammad the capital of?
191,When was free education brought to the country containing Kandalama Reservoir?
192,On which continent would you find the hilly region containing Beaudoin Peak?
193,What county is the city where Stillwater Area High School located part of?
194,Who is a cast member from the soap opera featuring a character named Viktoria Wolf?
195,When did the iPhone 6s from the developer of MessagePad come out?
196,Who is the defence minister from the country where Mazabuka district is located?
197,who are the two leaders of the opposition in the province Elton is located?
198,Who are the democratic candidates running for governor in the state where Dorothy lived in the wizard of OZ?
199,Who was in charge of the city where Jerome Dupree was born?
200,What Chilean footballer from Arsenal joined in 2018 the club that won more trophies than Liverpool
201,What is the rank of the state where Ghaspada is located in population?
202,When was the last time Larry Moriarty's team went to the Super Bowl?
203,Who is the spouse of the original singer of How Sweet It Is To Be Loved By You?
204,"In the town or city that WMID serves, what percentage of households were made up of individuals?"
205,In which episode of Doctor Who was there a character based on the creator of Farming Village at Twilight?
206,Where is Shelby High School located in the state that contains Langdon House?
207,When was the most remarkable creation in MTV born?
208,Who wrote the pledge of allegiance of the country where After the Sunset was filmed?
209,when is the next governor election in the birthplace of Lester Chambers?
210,What county borders the community of Dean which shares a county with New Germany?
211,Who wrote the national anthem of the country where the town of Mannar is located?
212,How much of the population of the country Dr. Babatunde Osotimehin hailed from is Muslim?
213,What race was the majority of the population in the country where DHL Balloon is located?
214,What spirits are associated with shintoism in the religion of the people whose language is used by Gichin Funakoshi?
215,What forest is by the southern border of the city where Kazimierz Dejmek died?
216,Who operates the Embassy of Northern Cyprus in the city where Necdet Oztorun died?
217,What are the dates for the motorcycle rally taking place in the administrative territorial entity where the Stratobowl is located?
218,Who is the opposition leader in the country that produces Matoke bananas?
219,"Where can you find the Tonight show, that bears the name of the original broadcaster of Closing Bell?"
220,Who is the treasurer in the John Wilkinson's birth state?
221,Who was the ninth governor-general in the country Lorengau is located?
222,What county is the town of Moran in the state with Plainville Airpark?
223,Who was the mother of the artist that the song Missing You by Diana Ross is about?
224,Who was the first prime minister of the country of Housewives' Holiday?
225,"What percentage of the population of the state where Shepard Glacier is located, is Native American?"
226,What annual tournament is hosted by the city where KRMP is located?
227,The city where Bärenreiter has its headquarters is located by what body of water?
228,When did the torch arrive in the birthplace of Kim Il-chol?
229,How to become a Justice of Peace in the country that released The Golden Pillow?
230,By what name is the brahmaputra known in Bangladesh and the country where BBC is banned from reporting?
231,When did the country with the Waini River become a member of caricom?
232,In which direction would you travel from city where the band Munroe Effect was formed to reach Southampton?
233,When did the civil war in the country where Simacota is located start?
234,How is the human rights record of the country where Varvara mine is located compared to the rest of the world?
235,Who else is a cast member in the show Oliver Sabel is from?
236,What is the population of District 3's encompassing city?
237,What is the record label of the performer who released Around the World?
238,What county is Carpenter located in the state where the Badlands is located?
239,What was the original price for a replacement battery from the developer of iWork?
240,"When did the man who said ""I came; I saw; I conquered"" die?"
241,What university is the college attended by Roland Moyle part of?
242,Who was U.S. president immediately following the conflict in which Arthur Whealy took part?
243,What was the magnitude of the September 2011 earthquake that struck the city with a metro station nearest to delhi railway station?
244,Who does the star voice actor of Afro Samurai play in The Avengers?
245,"What municipality holds Sheet Harbor, in the province and former colony, where Baptist missionary work in Canada began?"
246,"Where did the Dakota tribe live in the state where Walnut Grove, in Little House on the Prairie, is located?"
247,What country is Carmelo Delgado Delgado's party located?
248,When did the torch visit the birthplace of JSL Singh?
249,Who was the first president of Moucha Island's country?
250,Who did Candy Harris's team play in the playoffs?
251,Where did the quarterback for Ryan Sims' team go to college?
252,Who has the most consecutive appearances in the tournament where you win a ring in the NBA?
253,Who plays Michael Myers in Halloween by the performer of The Sinister Urge?
254,Who was in charge of the colony that became the state Jeremiah Olney was born?
255,What network first aired the show with a character named Matthias Brandner?
256,What award did the star represented by Lew Wasserman receive?
257,In which league was the sports team of Stanley Blair?
258,who is the leader of opposition in the country Herb McKenley is from?
259,What is the name of the waterfall in the country where Baghdad Stadium is located?
260,What city is in the county where Enterprise is located?
261,How many people died as a result of the fighting between Armenia and the country where the Padar are from?
262,What city is the birthplace of the pianist who released the album Heat Wave?
263,Who does the singer of Drugs or Jesus play in Country Song?
264,What percentage of the population of the country with the largest economy in Africa is Mulsim?
265,When is the sec championship game between Georgia and the winner of national college football 2016?
266,What is the county for the location where Menajahtwa was formed?
267,When did Hurricane Maria make landfall in the territory that has been suggested as a new addition to the United States?
268,Who operates the embassy of Northern Cyprus in the city where Kubra Kegan was born?
269,What country did the Battle of Iconium take place in?
270,What state is the downtown of where Killing of a Sacred Deer was filmed located in?
271,What county is part of the state where Nathaniel Pearce House is located?
272,Who acts in the show with a character named Benito Alessi?
273,What song did the performer of Lennon Bermuda write for David Bowie?
274,Who did the singer of I Wanna Be with You play in The Princess Diaries?
275,Where did the band who sang I might like you better if we slept together originally form?
276,What percentage of contributions does the country containing the capital city of Yaritagua have?
277,What is the location of the administrative territorial entity where Roca Entravessada is located?
278,Who performed in the 1980 live comedy album recorded in the birth city of Billy Caskey?
279,How old do you have to be to drink with a parent in the US state setting Driftless?
280,Filming of Time after Time was in the city named after whom?
281,From where did the radioed interception orders to planes of the country later opposed to invasion of the Suez canal come?
282,SMA Negeri 68 is located in what region of the city where the 2008 Summer Olympics torch relay began in Indonesia?
283,Where do the large A380 go after the city where Albert was born?
284,How many meters higher than the sea is the city where Mexico won its freedom from Spain?
285,What's the rank of the city where communism was overthrown first in the EU for the most people?
286,What is the record label for the performer of The Definitive Collection?
287,What are the global record sales for the band who released The Right to Go Insane?
288,What kind of objects were not affected by the mechanics of the scientist whose death in 1727 prompted poems written in his honor for decades?
289,Who is the spouse of the performer of Can I Get a Witness?
290,What county is Greg Howes birthplace located in?
291,Who won bigg boss season 5 in the version of the show in the language used by Kuvempu?
292,What is the tallest structure in the country Mahooz is located?
293,Who scored the first goal for Ryan Bertrand's team last season?
294,What municipality is Kinsaw in the same province Bell died in part of?
295,What military branch did the writer of the book Bravo Two Zero was based on serve in?
296,Who won the 2018 election in the country where the cuisine of Mee bandung Muar originated?
297,What was the currency of the country having Cobra before the Euro?
298,What is the population of the city containing District 9?
299,When did the civil war in the country where Perquin is located start?
300,Who was in charge of Jeremy Chappell's birthplace?
301,In season 5 of the series with the episode All The Pretty Sources who is Blair's baby daddy?
302,What are the nationality and occupation of the highest paid sports person in the world?
303,Who did the performer of The God That Failed collaborate with?
304,Who is currently in charge of the city where WOFX-FM is located?
305,What is the record label for the artist with an album titled More Blues and the Abstract Truth?
306,What rank is the state with the most black voters in 1965 in population?
307,What had the attackers of Pearl Harbor failed to capture?
308,When was the creation of the mosaics of the church located in the city where the band Baildsa formed?
309,"In World War II, on what date were the allies joined by the country containing the town of Curtici?"
310,Ardele Lister's employer is an instance of what?
311,Who won the 2018 election in the country the Miri–Baram Highway is located?
312,What type of community is the city where Tiziano Siviero was born an instance of?
313,How do you become a justice of peace int he country where Double Bonus takes place?
314,The creator of The Golden Stairs is noted for creating mosaics in what century?
315,What river flows through the city KRMP broadcasts?
316,Who is the present food minister of the state where Haradanahalli is?
317,When did Chopin's family move to where Andrzej Strug later died?
318,Which county shares a border with the county where Oliver Township is located?
319,What county includes the Kansas city that shares its name with Mike Corneau's birthplace?
320,When did the performer of My Life play at Shea Stadium?
321,What metro area is the location of Cosham part of?
322,when is election day in Holland Smith's birth state for senate?
323,Where does the team which played the Red Sox in the 2004 World Series have spring training?
324,In what season was the performer of Encore a guest judge on American Idol?
325,Who wrote a book named for the woman whose self-titled album came out in 1983?
326,How many households are in the city Kevin Durant played for before moving to Golden State?
327,"What was the date of death of Anne Fitzalan-Howard, former Duchess of the state where Earsham is located?"
328,Who married the founder of Russell's teapot?
329,Who is the sibling of the cast member of Little Annie Rooney?
330,Who was influential in education from the country where the Helvetic Republic was established?
331,How did the federation of countries whose officials are called Eurocrats rank Switzerland's economy?
332,When did Flatline by the performer of Bad Day come out?
333,What is the tallest structure in the country Dumistan is located in?
334,Who was the pilot who dropped the atomic bomb on the first Japanese city nuked by the United States?
335,What is the record label of the performer of Red Hot Kinda Love?
336,"How many times has the wrestler who won the WWE Elimination Chamber in 2018, won the WWE Championship?"
337,What county is found in the smallest state of the northeast region?
338,When did Baird cease showing its programs on the network that shows I Dream?
339,"Which flag was made first, the flag of Cuba, or that of the territory that Luis Villafañe is from?"
340,When did trolleys stop running in Nigel Stock's birthplace?
341,"During the 2010 United States Census, how many households were there in the city that WMID serves?"
342,When did the 5th Dalai Lama gain political control over the country that managed religious and regional political affairs?
343,He who garnered the most electoral votes in 1824 had a nephew named what?
344,What is a term for the religion of all naturalists working at the two English universities and churches that align with it?
345,What was the first name of the person whose liturgical feast is celebrated on September 26th at birth?
346,Whose life teaches the members of the religion targeted in the great persecution that began in 303?
347,What is the legal system based on for the location where A-Ma Temple is located?
348,When did the currencies of the country east of Swaziland first come into circulation?
349,What organization does the organization that General Ashcroft assigned to lead organization in terrorism investigation share jurisdiction with?
350,Where are the San Juan Mountains in the state that uses the 575 area code?
351,When were the subways constructed in the city where Josiah Sutherland died?
352,Where is the location of the main campus of the school where John Nessel was educated?
353,When was the last earthquake in the country where Cobresal is headquartered?
354,When ordering Indian states by population what position is Chatra Lok Sabha constituency's state?
355,What language was used by the writer of Nice Work If You Can Get It?
356,What is the population of Williston in the state where KCAD is based?
357,The traditional sport played on islands surrounding Luasamotu is what?
358,When was the city where the band Blue Cheer was from founded?
359,Who is the Minister of Local Government in the country that contains Zvimba District?
360,How old do you have to be to drink with a parent in the state where WJQM is located?
361,Who was manager when George Saville's team won Champions League?
362,Who plays the One Day at a Time character that shares a first name with the spouse of Michal?
363,When did the state where Pocahontas Mounds is located become part of the United States?
364,Who was in charge of the country Ponor is located?
365,How old do you have to be to drink with a parent in the state where the movie The Great Outdoors is set?
366,Who is the mayor of Yusa's birthplace?
367,When did allied troops land in the location where the moors who invaded Spain came from?
368,What is Elizabeth's ranking in the church founded by King Henry VIII?
369,What job did the creator of Prophet Jonah have?
370,Who is the screenwriter of the documentary named after the country where Byblos Port is found?
371,What genre of music did the Le nuove musiche composer create?
372,What era did the Presbyterian Church in the country The Heirloom originated experience a large growth in members?
373,Who is opposition leader in the country where May Pen is located?
374,What language was used by Renana Jhabvala's mother?
375,"During the Cold War, what happened in the country of citizenship of Sangrama?"
376,"When Anson led the Chicago Cubs, how many pennants did they win in the league that employed Peter McLaughlin?"
377,When did the Battle of the state where Del's can be found happen?
378,Which mountain range separates Kinnaur and Spiti from the country to which the Yongle emperor sent Yang Sanbao?
379,What is the body of water by the birthplace of William Barber?
380,"What county includes the city of Clayton, in the state where wind power is used the most in the U.S.?"
381,Who was the ninth governor-general in the country where Bagana is?
382,"Who sings the rap in Baby, by the performer of Somebody to Love?"
383,Who performed the song named for the country where Camatagua can be found?
384,When did the writer of the song You Are My Home play at Shea Stadium?
385,Who was the mother of the performer of Joy?
386,Which region is Francis Raymond Shea's residence city located?
387,How many miles northwest of Jon Monday's birthplace is Stanford University located?
388,What was the country where Konrad Sundlo was from named after?
389,What show helped launch the career of the Cry singer?
390,When did the country where Rosme is located join the USSR?
391,"Which verse in Luke states that Mary had ""no relations with man"" before the birth of the man who overthrew moneychangers' tables in the temple?"
392,Who did the performer of You write the song something for?
393,What is the record label of the performer of Dead Presidents?
394,What record label does the performer of Recorded as Jerry Landis belong to?
395,Who is the person with the most followers on Instagram?
396,On what kind of land form is Andros in the country where Bahamas Association of Athletic Associations is based?
397,"In what ways did Kanye draw inspiration from Led Zeppelin, U2, and the performers of Slipping Away?"
398,How many households were in the city where The Flaming Lips were formed?
399,When did the body of water where Pedra Branca is located come into existence?
400,Who is the spouse of the person who annexed Alsace to the new German Empire in 1871?
401,Who is the mayor of the birth city of Can Dündar?
402,Who was the first commander in chief after independence of the military branch that Army Training Command is part of?
403,Who was the spouse of the composer of In the Hall of the Mountain King?
404,When did the state Friendship Halls is located make Anglicanism its established religion?
405,Where did the university that awarded Lee an honorary doctorate in 2006 rank in U.S. News & World Reports for its 2015-2016 rankings?
406,Who is president of the country Patrick Aga belongs to?
407,Where was the performer of The First Day born?
408,"Enterprise, in the same state A Scattered Life takes place in, is in which county?"
409,Of which country was the performer of Twist the Truth a citizen?
410,What is the genus of the thrush found in the country where Pungudutivu Lighthouse is found?
411,The Dean community in the same province as Torbrook is in what county?
412,What is the tallest structure in the country where Mahazza is located?
413,What is the highest point in the state where Clendening Lake is located?
414,Which body of water is by the place where Sergei Toporov died?
415,What shares a border with Carolus Maneken's birthplace?
416,Who many students regularly attend schools in the city where The Kitchen is?
417,Which nation was not part of the U.N. allied military force in the country where taekwondo is originally from?
418,Who is chief justice of the country where Elmina Castle is built?
419,What is the name of the North Carolina airport in the city where John J. Milligan resided?
420,Who is the finance minister of the state Chandul Shah died in 2017?
421,Where is the place Fairfield is part of located in the UK?
422,What did Goring believe the operator of German submarine U-608 would gain with further support?
423,Who built the largest ancient Inca empire in the area the Monroe Doctrine aimed to free from European influence?
424,Who is the Speaker of Parliament of the country Shai Hills are located?
425,Was there any debate about the voting process in Charlotte Blake's birthplace?
426,What county is Lyons located in the state where WJWD is located?
427,When does the academic year start in the country Bikam is located in?
428,What's the name of the hockey club from Joseph Gelfer's birthplace?
429,What is the mosaic in the church where Villa Bianca is located known as?
430,What was depicted on banners of people from the group accused of starting the Great Fire of 64 AD during the First Crusade?
431,What county contains the city where Miho Klaić died?
432,Who did the actor voicing Afro Samurai play in Star Wars?
433,When did the state where Elven C. Smith built his house get into the Union?
434,Where did the original inhabitants of the location where Rano Raraku is come from?
435,The mosaic in the church in the city where the Salonika Agreement occurred is known as what?
436,Was there any debate about the voting process in the state where Langdon House is?
437,Who was the President of the U.S. immediately following the conflict with Frances Cluett's participation?
438,Who is the director of the film named after the country Kafr Dunin is lcoated?
439,Where did the creator of Ode to Joy die?
440,What was the alma mater of Richard Labonté originally called?
441,Who is the mother of Living With You's producer?
442,On what date did Banjo-Tooie's publisher unveil the new systems?
443,Which genre did the only true successor to Chopin (according to J. Barrie Jones) compose?
444,When does the academic year start in the country known for Nasi kerabu?
445,Who is the sibling of the other woman who earned the title?
446,In which administrative territory is Clinton Derricks-Carrol' birth place?
447,Who is the present Defence Minister of the state Keladi Chennamma is from?
448,Who was in charge of the country where Badel is located?
449,Who is the sibling of Yamata's director?
450,Who signed the Declaration of Independence from the state where Jacob Highbarger House is located?
451,Where is the district containing the fell of Birks located in the UK?
452,Since what time has the creator of swift remained profitable?
453,"Who did the producer of Songs I Wrote with Amy write the song ""Thinking Out Loud"" for?"
454,Who led the army that was part of the Stalingrad Front and made it an effective fighting force?
455,"What is the name of the administrative territorial entity in Dean, which is found in the province that contains Kejimikujik Lake?"
456,Who won the season of American Idol when the performer of Giving Myself was on it?
457,Who is the father of Blair's baby in season 5 of the series that Valley Girls is part of?
458,Which art museum does the university that awarded Lee an honorary doctorate administer?
459,Who is the mayor of the birth city of Pedro Carrío?
460,Who is the mother of the producer of the album Circus Live?
461,What type of university is Norman Levitt's employer?
462,What is a popular hotel in Rudi Louw's birth city?
463,What cigars are named for the capitol of the country where Rogelio Marcelo was born?
464,What amount of TEUs was handled in 2010 in the city where Bey Hamam is located?
465,What human health problems has the substance used to extract gold and silver from their ores been directly linked to?
466,When did the continent where the yellow bell plant originates take the form that it has today?
467,Which season of American Idol featured a guest judge with the largest Twitter following in the world?
468,What is the administrative territorial entity in the city where Neyland Stadium is located?
469,Where did the team that won the MLB World Series in 2007 get Brandon Phillips from?
470,When is the next gubernatorial election in the state where WWZD-FM is based?
471,When were the mosaics in the church where the Cemetery Basilica is created?
472,What league does the owner of Cobham Training Centre attend?
473,The Tonight show by the media networked previously called Financial News Network can be seen where?
474,The religious group targeted in the Great Persecution had what depicted on their banners during the first crusade?
475,Who is the mother of Starlight's performer?
476,How many times has Kirk Rueter's team beat the dodgers?
477,Who is the mother of the performer of All Summer Long?
478,who is the minister of defence in the country that uses .zm as domain name?
479,When did the performer of Cool Yule make What a Wonderful World?
480,When was the first railway line constructed between Kotri and the birthplace of Benazir Bhutto?
481,What song did the performer of I See Fire write for Justin Bieber?
482,Who does the rap parts in Never Say Never with the singer of Down to Earth?
483,What is the population of the city in Florida where Philipp Schwartz died?
484,What is the capitol of the province in which Aghitu is located?
485,When did the Muslim conquest of the region Carthage and Tunisia are located in take place?
486,When did the host city of the 2020 winter Olympics fall?
487,Where's Mykhaylo Berkos's birth place located?
488,Where is the limit of the continent on which Mount Gerdel is located?
489,what is the name of the airport in the city where Bình Thạnh is located?
490,what percentage of Catherine LaCugna's employer's students feel they are Christian?
491,Who was the discoverer of the country where Motulalo is located?
492,Who is the model in the music video for She Doesn't Mind by the performer of Dutty Rock?
493,Who is the spouse of the performer of Baby Don't You Do It?
494,What percentage of the country that Ferronigerite-2N1S is named after has HIV as of 2012?
495,Where did the quarterback for Ernie Thompson's team go to college?
496,What does the Buddhist belief that says Buddhas come one at a time and not within other eras mean?
497,Who did Cry's performer play in princess diaries?
498,Who is the opposition leader in the country where Norbrook is located?
499,"In the Bible, who is the father of the second king of Israel who became the symbol of an ideal king of Israel?"
500,On what date was the author of the Sacerdotalis Caelibatus born?
501,What band is the performer of The Hits a member of?
502,Where was the band that performed Can I Play with Madness formed?
503,What is the statue of Acraepheus's dad at Mantua based on?
504,What group is the performer of That's Not Her Style a member of?
